name	kind	style	score	score_counts	first_release_time	play_status	official_name	tv_station	school	language	station_ranking	level	resource_views	collect_counts	translator	scenarist	starring	alias	director	cycle	area	company	imdb
猪又近与8个丧女	日剧	剧情/喜剧/生活	2.4		2019-10-19 周六		猪又進と8人の喪女	其他		日语		A			拉风字幕组					1day	日本		
帕累托的误算~社会工作者被杀事件	日剧	悬疑	6.5		2020-03-07 周六		Pareto no Gosan Kesuwaka Satsujin Jiken	WOWOW		日语		A			人人影视字幕组						日本		
传输失败	电影	剧情	1.0		2019-04-28		Lost Transmissions			英语	999999	A			暂无						美国		
黑色星期一	美剧	喜剧	8.1		2019-01-21 周一		Black Monday	Showtime		英语		E			人人影视字幕组					0day	美国		
意大利制造	意剧	剧情/喜剧	0.0		2020-03-26 周四		Made In Italy	其他		意大利语		A			ANON匿名字幕组						意大利		
凯利帮的真实历史	电影	剧情/传记	7.8		2019-09-11		The True History of the Kelly Gang			英语	5481	C			暂无						英国		
一间房	动画	生活/动画	6.9		2017-01-11		One Room	其他		日语		A			甜饼字幕组						日本		
王室	美剧	剧情	8.1		2015-03-17 周二		The Royals	其他		英语		C			甜饼字幕组						美国		
星光女孩	电影	剧情/喜剧/爱情	9.9		2020-03-13		Stargirl			英语	999999	A			暂无						美国		
星球大战9：天行者崛起	电影	动作/科幻/冒险	7.6		2019-12-20		Star Wars: The Rise of Skywalker			英语	5821				暂无						美国		
这个男人是我人生最大的错误	日剧	喜剧/爱情	8.8		2020-01-18 周六		Kono Otoko wa Jinsei Saidai no Ayamachidesu	朝日		日语		A			人人影视字幕组						日本		
吞咽	电影	剧情/恐怖/惊悚	8.5		2019-04-28		Swallow			英语	10308	B			暂无						美国		
1917	电影	战争/剧情	8.1		2019-12-25		1917 			英语	3693	D			暂无						英国		
零零零	美剧	剧情	7.7		2020-03-06 周五		ZeroZeroZero	Amazon		英语		C			弯弯字幕组						美国		
少年泰坦出击	动画	喜剧/青春/冒险/动画/幽默	9.1		2013-04-23 周二		Teen Titans Go! 	Cartoon Network		英语		A			丧尸治疗字幕组						美国		
血色旅程	挪威剧	恐怖/惊悚/悬疑	7.1		2020-03-13 周五		Bloodride	Netflix		其他		C			人人影视字幕组						其他		
地窟藏恶	电影	剧情/喜剧/惊悚/爱情	0.0		2020-03-10		I.Hate.The.Man.In.My.Basement			英语	999999	C			暂无						美国		
兄弟情深	电影	剧情	0.0		2019-12-06		Brotherhood			英语	999999	A			暂无						美国		
女服务员	电影	剧情	0.0		2018-09		La Camarista			西班牙语	999999	B			暂无						墨西哥		
帮您推翻不在场证明	日剧	悬疑	7.7		2020-02-01 周六		Alibi Kuzushi Uketamawarimasu	朝日		日语		A			人人影视字幕组						日本		
反击	美剧	动作/战争/剧情/枪战	9.0		2010-05-06 周四		Strike Back	Cinemax		英语		E			人人影视字幕组					0day	美国		
无声的证言	英剧	罪案	8.8		1993-04-07 周三		Silent.Witness	BBC		英语		C			玄字幕组					补剧中	英国		
冰雪奇缘2	电影	喜剧/冒险/动画	8.3		2019-11-22		Frozen II			英语	3324	A			暂无						美国		
西部世界	美剧	科幻/惊悚/悬疑/西部	8.8		2016-10-03 周一		Westworld	HBO		英语		E			人人影视字幕组						美国		
宇宙小子：未来	动画	冒险/动画/幻想	8.5		2019-12-07 周六		Steven Universe Future	Cartoon Network		英语		A			迪幻字幕组						美国		
百合与直觉	日剧	剧情/生活/爱情	8.3		2019-05-24		百合だのかんだの	其他		日语		C			亿万同人字幕组					1day	日本		
疯狂清道夫	德剧	剧情/喜剧	8.9		2012-01-04 周三		Der Tatortreiniger	其他		德语					深影字幕组					非周播	德国		
神探林肯	美剧	悬疑	6.6		2020-01-11 周六		Lincoln Rhyme: Hunt for the Bone Collector	NBC		英语		B			人人影视字幕组					0day	美国		
行尸走肉	美剧	恐怖/丧尸/灾难	8.8		2010-11-01 周一		The Walking Dead	AMC		英语		D			人人影视字幕组						美国		
然后，百合子就只剩一人了	日剧	剧情/悬疑	5.7		2020-03-06 周五		そして、ユリコは一人になった	富士		日语		B			弯弯字幕组					不详	日本		
新百战天龙	美剧	动作/罪案	7.3		2016-09-24 周六		MacGyver	CBS		英语		B			人人影视字幕组					0day	美国		
马蒂亚斯与马克西姆	电影	剧情	8.3		2019-05-22		Matthias & Maxime			法语	4366	B			暂无						加拿大		
这不是柏林	电影	剧情	8.7		2019-01-25		Esto no es Berlín			西班牙语	2756	C			暂无						墨西哥		
实习医生格蕾	美剧	医务	9.2		2005-03-28 周一		Grey's Anatomy	ABC		英语		B			人人影视字幕组					1day	美国		
康纳家庭生活	美剧	喜剧	7.3		2018-10-17 周三		The Conners	ABC		英语		A			自由译者联盟						美国		
爱的迫降	韩剧	剧情	8.8		2019-12-14		사랑의 불시착	tvN		韩语		A			韩迷字幕组						韩国		
巴格达总局	英剧	剧情	7.7		2020-02-04 周二		Baghdad Central	Channel 4		英语		B			人人影视字幕组						英国		
燃烧女子的肖像	电影	剧情/历史	9.0		2019-05-19		Portrait de la jeune fille en feu			法语	1418	B			暂无						法国		
狙魔女杰	美剧	动作/魔幻/血腥/惊悚	7.7		2016-04-02 周六		Wynonna Earp	Syfy		英语		C			亿万同人字幕组						美国		
我的左蛋蛋	英剧	喜剧/青春	7.5		2020-03-02 周一		My Left Nut	BBC		英语		C			人人影视字幕组					0day	英国		
然后我们跳了舞	电影	剧情/生活/青春	8.1		2019-05-16 周四		და ჩვენ ვიცეკვეთ			其他	5258	B			暂无						其他		
微笑的人	日剧	悬疑/罪案	6.5		2020-03-01 周日		Hohoemu Hito	朝日		日语		B			人人影视字幕组						日本		
南方女王	美剧	动作/剧情/惊悚	8.4		2016-06-23 周四		Queen of the South	USA		英语		C			自由译者联盟					补剧中	美国		
命运航班	美剧	剧情/科幻	7.7		2018-09-25 周二		Manifest	NBC		英语		B			人人影视字幕组					0day	美国		
嘻哈帝国	美剧	剧情	8.5		2015-01-08 周四		Empire	FOX		英语		B			人人影视字幕组					0day	美国		
蓝皮书计划	美剧	历史/悬疑	8.5		2019-01-09 周三		Project Blue Book	历史频道		英语		B			人人影视字幕组						美国		
10的秘密	日剧	悬疑	6.0		2020-01-14 周二		Juu no Himitsu	富士		日语		A			人人影视字幕组						日本		
燃情克利夫兰	美剧	喜剧	9.3		2010-06-17 周四		Hot In Cleveland	TV LAND		英语		A									美国		
11.22.63	美剧	科幻/惊悚/悬疑	9.0		2016-02-16 周二		11/22/63	其他		英语					人人影视字幕组						美国		
奇迹缔造者	美剧	剧情/喜剧	7.7		2019-02-13 周三		Miracle Workers	TBS		英语		B			人人影视字幕组						美国		
无论疾病或是健康	日剧	爱情	7.3		2020-01-20 周一		Yameru Toki mo Sukoyaka Naru Toki mo	NTV		日语		A			人人影视字幕组						日本		
愿景与幻想	电影	喜剧	0.0		2008-04-08 周二		Visioneers			英语	10886	A			暂无						美国		
死亡天使	电影	动作/惊悚	6.0		2009-07-07		Angel of Death			英语	8602	B			暂无						美国		
司法雇佣兵	电影	动作/剧情/惊悚	7.0		2006-04-25 周二		Mercenary for Justice			英语	7210				暂无						美国		
鬼来电2	电影	恐怖/悬疑	7.7		2005-05-12 周四		着信アリ2			日语	5715	C			暂无						日本		
鬼来电3	电影	恐怖	6.4		2006-06-24		着信アリFinal			日语	8166	C			暂无						日本		
哈拉	电影	剧情	8.4		2019-01-26		Hala			英语	3627	A			暂无						美国		
两个女人	电影	剧情/爱情	7.0		1979-05-23		Twee Vrouwen			英语	7323	C			暂无						其他		
恶搞之家	美剧	喜剧/动画	9.3		1999-04-01 周四		Family Guy	FOX		英语		C			艾森闹字幕组					非周播	美国		
女生出拳	电影	剧情/体育	7.2		2000-10-06 周五		Girlfight			英语/西班牙语	6907	A			暂无						美国	Green/Renzi	
布娃娃	电影	动作/剧情	5.1		2020-02-25		Rag Doll			英语	9578	B			暂无						美国		
黑吃黑	美剧	剧情/暴力/血腥/悬疑/罪案	9.3		2013-01-12 周六		Banshee	Cinemax		英语		E			人人影视字幕组						美国		
湘南纯爱组！	日剧	动作/剧情/喜剧	7.9		2020-02-28		湘南純愛組!	Amazon		日语		C			幻月字幕组						日本		
为了全人类	美剧	科幻	7.3		2019-11-01 周五		For All Mankind	Apple TV+		英语		B			人人影视字幕组						美国		
上帝加我好友	美剧	喜剧	8.0		2018-10-01 周一		God Friended Me	CBS		英语		B			Fantopia字幕组						美国		
海军罪案调查处：新奥尔良篇	美剧	剧情/罪案	8.8		2014-09-24 周三		NCIS: New Orleans	CBS		英语		B								无制作计划	美国		
泰版母亲	泰剧	剧情	6.0		2020-03-05		mother	其他		泰语		B			弯弯字幕组					3day	泰国		
法律与秩序：特殊受害者	美剧	剧情/悬疑/律政/罪案	9.0		1999-04-22 周四		Law and Order: Special Victims Unit	NBC		英语		B			蓝血字幕组						美国		
午夜凶铃2：贞子缠身	电影	恐怖	7.5		1999-01-23		リング2			日语	6207	C			暂无						日本		
午夜凶铃3：贞相大白	电影	剧情/恐怖	7.5		2000-01-22		リング0 バースデイ			日语	6215	C			暂无						日本		
鬼来电	电影	恐怖/悬疑	8.5		2003-11-03		着信アリ			日语	3305	C			暂无						日本		
贞子大战伽椰子	电影	恐怖	6.2		2016-06-18		貞子VS伽椰子			日语	8371	C			暂无						日本		
心理测量者 剧场版	电影	动作/科幻/罪案	8.2		2015-01-09 周五		PSYCHO-PASS			日语	3035	C			暂无						美国		
美好年代	电影	剧情/喜剧	9.9		2019-05-20		La belle époque			法语	104	A			暂无						法国		
复仇之路	电影	动作/剧情	0.0		2007		retribution road			英语	10801	B			暂无						美国		
德雷克探案集	加剧	剧情/悬疑	8.0		2017-11-07 周二		Frankie Drake Mysteries	其他		英语		A			拉风字幕组						加拿大		
流浪诗行	电影	传记	7.0		2013-07-01 周一		Papusza			其他	7325				暂无						美国		
指挥家	电影	传记	7.0		2018-10-25		De dirigent			英语	7302				暂无						美国		
特工女王	南非剧	动作	6.4		2020-02-28		Queen Sono	Netflix		英语		C			NETFLIX官方中字						其他		
智能大反攻	电影	喜剧/科幻/冒险/动画	0.0		2020		Connected			英语	10888				暂无						美国		
永恒之门	电影	剧情/传记	7.5		2018-09-03		At Eternity's Gate			英语/法语	6060	A			暂无						美国		
猫	电影	歌舞	4.8		2019-12-20		Cats			英语	9743				暂无						美国		
隐秘的生活	电影	战争/剧情/传记	7.9		2019-05-19		A Hidden Life			英语	5249				暂无						德国		
在只有我是17岁的世界	日剧	剧情	7.9		2020-02-20		僕だけが17歳の世界で	其他		日语		A			幻月字幕组						日本		
无人知晓	韩剧	剧情	7.9		2020-03-02		아무도 모른다	SBS		韩语		A			韩迷字幕组						韩国		
再次钟情	法剧	科幻/惊悚/爱情	7.3		2019-08-29		Il était une seconde fois	Netflix		法语		C			弯弯字幕组					补剧中	法国		
芝加哥警署	美剧	动作/剧情	9.2		2014-01-09 周四		Chicago P.D.	NBC		英语		B			人人影视字幕组						美国		
离婚	美剧	剧情/爱情	7.5		2016-10-10 周一		Divorce	HBO		英语		C			人人影视字幕组					0day	美国		
勇敢者游戏2：再战巅峰	电影	动作/喜剧/冒险	6.8		2019-12-06		Jumanji: The Next Level			英语	7370				暂无						美国		
新鲜王子妙事多	美剧	喜剧	8.8		1990-05-01 周二		The Fresh Prince of Bel-Air	其他		英语		C			片影翻译军团					补剧中	美国		
关注者	日剧	剧情	7.5		2020-02-27		Followers	Netflix		日语		C			NETFLIX官方中字						日本		
早熟	电影	剧情/爱情	5.8		2019-01-26		Premature			英语	9087	A			暂无						美国		
变身特工	电影	喜剧/科幻/冒险/动画	8.2		2020-01-03		Spies in Disguise			英语	4053	A			暂无						美国		
初恋	日剧	悬疑/罪案	6.7		2020-02-22 周六		First Love	NHK		日语		A			人人影视字幕组						日本		
井下9人	电影	剧情	6.6		2019-03-08		Mine 9			英语	7928	B			暂无						美国		
逃亡僵尸岛	电影	科幻/恐怖	6.0		2015-06-22		The Rezort			英语	8436	C			暂无						英国		
阴谋：作家之死	电影	悬疑	7.2		2018-10-11		Intrigo: Death of an Author			英语	6862	B			暂无						美国		
幻想工程故事	美剧	纪录	9.0		2019-11-12		The Imagineering Story	Disney+		英语		A			迪幻字幕组						美国		
地狱神警	电影	西部	5.0		2019-12-13		Hell On The Border			英语	9583	C			暂无						美国		
星之彩	电影	科幻/恐怖	6.7		2019-09-07		Color Out of Space			英语	7744	B			暂无						美国		
过境	电影	剧情	6.7		2018-02-17		Transit			德语	7777	B			暂无						德国		
美国之子	电影	剧情	5.5		2019-09-12		American Son			英语	9200	A			暂无						美国		
我的A级秘密	电影	喜剧/爱情	6.0		2019-09-13		Can You Keep a Secret?			英语	8758	A			暂无						美国		
救火奶爸	电影	喜剧	6.8		2019-11-08		Playing with Fire			英语	7593	A			暂无						美国		
传说中的母亲	日剧	生活	6.7		2020-02-01 周六		Densetsu no Okasan	NHK		日语		A			人人影视字幕组						日本		
与艾米莉的疯狂夜晚	电影	喜剧/历史/爱情/传记/讽刺	7.7		2018-03-11		Wild Nights with Emily			英语	5707	B			暂无						美国		
行长 野崎修平	日剧	剧情	8.0		2018-01-14 周日		Toudori Nozaki Shuhei	WOWOW		日语		A			人人影视字幕组						日本		
难以置信	美剧	剧情/罪案	8.9		2019-09-13 周五		Unbelievable	Netflix		英语		C			人人影视字幕组					0day	美国		
绿箭	美剧	动作/暴力	8.8		2012-10-10 周三		Arrow	CW		英语		B			人人影视字幕组					0day	美国		
奥斯卡金像奖颁奖典礼	颁奖礼	真人秀	8.5		2019-02-25 周一		The  Annual Academy Awards	ABC		英语		A			人人影视字幕组						美国		
马里奥的工作日常	泰剧	喜剧/偶像/真人秀/综艺	5.6		2018-12-18 周二		Work with Mario	其他		泰语		A			宅基地字幕组					补剧中	泰国		
超级购物狂	泰剧	生活/偶像/真人秀/综艺	3.3		2018-10-11 周四		OH Lunla	其他		泰语		A			宅基地字幕组					补剧中	泰国		
父与子的地下偶像	日剧	生活/偶像/青春	8.0		2020-02-23 周日		Chichi to Musuko no Chika Idol	WOWOW		日语		A			人人影视字幕组						日本		
龙之心：致命复仇	电影	冒险	5.3		2020-02-04		Dragonheart: Vengeance			英语	9456	A			暂无						美国		
百万碎片	电影	剧情	6.8		2018-09-10		A Million Little Pieces			英语	7585	E			暂无						美国		
未来全明星	美剧	剧情	5.4		2018-10-11 周四		All American	CW		英语		B									美国		
极速车王	电影	动作/剧情/传记	9.1		2019-11-15		Ford v. Ferrari			英语	1263	A			暂无						美国		
第一滴血5：最后的血	电影	动作/惊悚/冒险	8.0		2019-09-20		Rambo: Last Blood			英语	4381	D			暂无						美国		
浪潮	电影	剧情/爱情	6.3		2019-08-30		Waves			英语	8262	B			暂无						美国		
蜡笔小新TV（老版日语中字）	动画	喜剧/动画	9.3		1992-04-13 周一		クレヨンしんちゃん	朝日		日语		A			独偶字幕组					补剧中	日本		
狮子王	电影	剧情/冒险/动画	7.3		2019-07-12		The Lion King			英语	6396	A			暂无						美国		
乔乔兔	电影	战争/剧情/喜剧	9.1		2020		Jojo Rabbit			英语/德语	1379	B			暂无						美国		
善地	美剧	喜剧/幻想	8.7		2016-09-20 周二		The Good Place	NBC		英语		B			人人影视字幕组					0day	美国		
第92届奥斯卡电影合集	电影	动作/战争/剧情/魔幻/科幻/悬疑/励志	9.1		2020-02-10 周一		o(*￣▽￣*)ブ 			英语/韩语	1250				暂无						美国		
伊核协议	电影	历史/纪录/传记	9.4		2016-07-16 周六		Iran's Nuclear Deal			英语	765	A			暂无						英国		
我的天才女友	美剧	剧情	9.1		2018-11-19 周一		My Brilliant Friend	HBO		意大利语		C			人人影视字幕组						美国		
硫磺岛的来信	电影	战争/剧情/历史	8.3		2006-12-09		Letters from Iwo Jima			英语	3736	B			暂无						美国		
越南战争	纪录片	战争/历史/纪录	9.0		2017-09-17 周日		The Vietnam War	PBS		英语		B			纪录片之家字幕组					补剧中	美国		
牧场趣事	美剧	剧情	9.0		2016-04-02 周六		The Ranch	Netflix		英语		B									美国		
正在进行	美剧	喜剧/爱情	5.9		2019-12-09 周一		Work in Progress	Showtime		英语		C			人人影视字幕组					0day	美国		
无耻家庭	美剧	剧情	9.4		2010-12-13 周一		Shameless US	Showtime		英语		E			人人影视字幕组					1day	美国		
睡梦医生	电影	剧情/恐怖/惊悚	7.9		2019-11-08		Doctor Sleep			英语	5190	D			暂无						美国		
东京♥大饭店~平古祥平摇摆的心~	日剧	生活/爱情	8.2		2019-10-20 周日		Guragura Maison Tokyo Hirako Shohei no Yureru Omoi	其他		日语		A			人人影视字幕组						日本		
罗马	电影	剧情	7.7		2019-02		Roma			西班牙语	5511	B			暂无						墨西哥		
十月派系	美剧	动作/恐怖/惊悚	5.8		2020-01-23 周四		October Faction	Netflix		英语		C			NETFLIX官方中字						美国		
教场	日剧	剧情	8.4		2020-01-04 周六		Kyojo	富士		日语		A			人人影视字幕组						日本		
巴比伦柏林	德剧	剧情	9.3		2017-10-13		Babylon Berlin	Sky1		德语		E									德国		
米兰达	英剧	喜剧	9.5		2009-04-01 周三		Miranda	BBC		英语		A			人人影视字幕组						英国		
桑迪顿	英剧	剧情/爱情	8.0		2019-08-26 周一		Sanditon	ITV		英语		A			人人影视字幕组					0day	英国		
继母与女儿的蓝调	日剧	剧情	8.7		2018-07-10 周二		Gibo to Musume no Blues	TBS		日语		A			人人影视字幕组						日本		
黑色1847	电影	动作/剧情	8.1		2018-02-16		Black 47			英语	4310				暂无						美国		
找到了	电影	恐怖/惊悚	6.6		2019-12-06		I See You			英语	7852	C			暂无						美国		
尸控疗法	电影	科幻/暴力/血腥/恐怖/惊悚	5.9		2019-03-25		Rabid			英语	8989	C			暂无						美国		
诺艾尔	电影	喜剧/幻想	7.4		2019-11-12		Noelle			英语	6359	A			暂无						美国		
恶棍	电影	剧情/喜剧/恐怖	6.3		2019-03-09		Villains			英语	8254	D			暂无						美国		
天桥风云	真人秀	真人秀	9.2		2004-12-02 周四		Project Runway	Bravo		英语											美国		
DC超级英雄美少女	美剧	动画	8.8		2019-03-16 周六		DC Super Hero Girls	Cartoon Network		英语		A			人人影视字幕组					0day	美国		
莫比亚斯：暗夜博士	电影	动作/科幻/惊悚	9.9		2020-07-31		Morbius			英语	102	D			暂无						美国		
啊！因为是男高，所以很幸福	韩剧	喜剧	8.8		2019-04-04		아 남고라서 행복하다	其他		韩语		A									韩国		
小委托人	电影	剧情	5.9		2019-05-22		어린 의뢰인			韩语	9027				暂无						韩国		
地狱客栈	动画	喜剧/动画	9.5		2019-10-28		Hazbin Hotel	其他		英语		A			甜饼字幕组						美国		
守望者	美剧	动作/剧情	7.7		2019-10-21 周一		Watchmen	HBO		英语		C			人人影视字幕组						美国		
人类清除计划	美剧	动作/剧情/血腥/惊悚	7.2		2018-09-05 周三		The Purge	USA		英语		C			人人影视字幕组						美国		
蔗糖女王	美剧	剧情	8.0		2016-09-06		Queen Sugar	其他		英语		B			X字幕组						美国		
战士	美剧	动作/剧情/暴力	8.9		2019-04-06 周六		Warrior	Cinemax		英语		E			人人影视字幕组					0day	美国		
姐姐你要和我玩真心话大冒险嘛	韩剧	剧情	4.9		2019-12-20 周五		여성 퀴어 웹드라마 -언니 나랑 진실게임 할래요	其他		韩语		A			橘里橘气字幕组					不详	韩国		
关于爱	电影	剧情/爱情	7.8		2017-03-23		ABOUT LOVE			俄语	5422	D			暂无						俄罗斯		
Doctor-X~外科医·大门未知子	日剧	剧情/悬疑	8.8		2019-10-17		第6季 ドクターX～外科医・大門未知子〜	朝日		日语		B			幻月字幕组						日本		
四分钟的金盏菊	日剧	爱情	7.2		2019-10-11 周五		4 Funkan no Marigold	TBS		日语		A			人人影视字幕组						日本		
逃离阿富汗	电影	战争/剧情	9.2		2019-03-09		Братство			俄语	1459	C			暂无						俄罗斯	Pavel Lungin Studio	
72小时	电影	战争/剧情	6.7		2016-05-05		72 Hours			俄语	7795	C			暂无						俄罗斯		
索比堡	电影	战争/历史	5.8		2018-04-26		Собибор			俄语	9100	B			暂无						俄罗斯		
梅赛德斯先生	美剧	科幻/惊悚/悬疑/罪案	8.3		2017-08-10 周四		Mr. Mercedes	其他		英语		B			人人影视字幕组					1day	美国		
国务卿女士	美剧	剧情/悬疑/律政	8.7		2014-09-22 周一		Madam Secretary	CBS		英语		B			人人影视字幕组						美国		
坚不可摧	电影	战争/剧情/历史	7.8		2018-10-25		Tankers			韩语	5456	C			暂无						俄罗斯	 Mosfim	
猎鹰与冬兵	美剧	科幻	0.0		2020-08		Falcon & Winter Soldier	Disney+		英语		B									美国		
莫扎特传	电影	剧情/歌舞/传记	9.0		1984-09-19 周三		Amadeus			英语	1589	A			暂无						美国		
变身小姐	其他剧	喜剧/爱情	8.3		2009-07-01 周三		Ele é Ela	其他		葡萄牙语		C			弯弯字幕组					补剧中	其他		
瑞克和莫蒂	美剧	喜剧/动画	9.6		2013-12-03 周二		Rick and Morty	Adult Swim		英语		C			UnIon字幕组						美国		
世纪末	电影	剧情	7.2		2019-03-30		Fin de siglo			西班牙语	6916	C			暂无						其他		
布朗神父	英剧	悬疑/罪案	9.0		2013-01-15 周二		Father Brown	BBC		英语											英国		
玛雅帮	美剧	剧情	7.9		2018-09-05 周三		Mayans M.C.	FX		英语		B			拉风字幕组						美国		
伦敦陷落	电影	动作	7.0		2016-03-04 周五		London Has Fallen			英语	7061				暂无						美国		
婚姻故事	电影	剧情/喜剧	8.2		2019-08-29		Marriage Story			英语	3999	A			暂无						美国		
忧蓝恋曲	泰剧	剧情/生活/偶像/爱情	8.1		2019-10-12 周六		Dark Blue Kiss	其他		泰语		A			宅基地字幕组					2day	泰国		
黑客军团	美剧	剧情	8.6		2015-06-25 周四		Mr. Robot	USA		英语		B			人人影视字幕组						美国		
天使陷落	电影	动作/惊悚	7.5		2019-12-31 周二		Angel Has Fallen			英语	5681	B			暂无						美国		
紫罗兰永恒花园外传：永远与自动手记人偶	电影	剧情/动画	9.0		2020-01-10		ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -			日语	1641	A			暂无						日本		
紧急呼救	美剧	剧情/罪案	8.7		2018-01-04 周四		9-1-1	FOX		英语		B			人人影视字幕组						美国		
灯塔	电影	剧情/恐怖	8.2		2019-05-19		The Lighthouse			英语	4029	D			暂无						加拿大		
美国夫人	美剧	剧情/历史	0.0		2020-04-16 周四		Mrs. America	FX		英语		B			人人影视字幕组					0day	美国		
死役所	日剧	剧情	7.9		2019-10-16 周三		Shiyakusho	东京台		日语		A			人人影视字幕组						日本		
G弦上的你和我	日剧	剧情	7.8		2019-10-15 周二		G Senjou no Anata to Watashi	TBS		日语		A			人人影视字幕组						日本		
丧尸乐园2	电影	动作/喜剧/恐怖	7.8		2019-10-18		Zombieland: Double Tap			英语	5347	D			暂无						美国		
海螺和鲸	电视电影	冒险	9.1		2019-12-26 周四		The Snail and the Whale	BBC ONE		英语		A			人人影视字幕组						英国		
亚莉克莎与凯蒂	美剧	喜剧	6.8		2018-03-23 周五		Alexa & Katie	Netflix		英语		B			人人影视字幕组						美国		
进击的巨人	动画	动作/科幻/灾难	9.2		2013-04-06 周六		Shingeki no kyojin	其他		日语		C			甜饼字幕组						日本		
无垠的太空	美剧	科幻	9.3		2015-12-15 周二		The Expanse	Amazon		英语		C			人人影视字幕组					1day	美国		
维琴河	美剧	爱情	8.3		2019-12-06		Virgin River	Netflix		英语		B									美国		
平安夜，杀人夜	电影	恐怖/惊悚	5.2		1984-10-09 周二		Silent Night, Deadly Night			英语	9541	C			暂无						美国		
金牌评论员	美剧	喜剧	7.2		2017-04-06 周四		Brockmire	TLC		英语		D			弯弯字幕组					补剧中	美国		
忍者！右左卫门	日剧	喜剧/古装	6.6		2018-12-19 周三		Shinobe Usaemon	NHK		日语		A			人人影视字幕组						日本		
老友记	美剧	喜剧/生活	9.6		1994-09-22 周四		Friends	NBC		英语		A									美国		
分界线	美剧	动作/剧情/罪案	8.6		2014-07-17 周四		The Divide	其他		英语		A			甜饼字幕组						美国		
真相大白	美剧	剧情/惊悚	7.0		2019-12-06 周五		Truth Be Told	Apple TV+		英语		C			AppleTV+官方中字						美国		
忠诚	电影	剧情	7.8		2019-10-31 周四		Vernost			俄语	5263	D			暂无						俄罗斯	Droog Drooga	
短信	电影	剧情/惊悚	5.0		2019-10-24		Text			俄语	9657	D			暂无						俄罗斯	 Central Partnership Productions	
金真情迷	英剧	剧情/爱情	8.1		2019-11-13 周三		Gold Digger	BBC		英语		A			人人影视字幕组					0day	英国		
买下我	电影	剧情	6.7		2018-03-02		Buy Me			俄语	7542	D			暂无						俄罗斯	Art Pictures Studio	
杀戮部队	电影	动作/战争/剧情/惊悚	6.6		2019-04-27		The Kill Team			英语	7672	B			暂无						美国		
不朽的走廊	电影	战争/剧情	7.3		2019-05-08		Convoy 48			俄语	6694	C			暂无						俄罗斯		
沉默的呐喊	电影	战争	6.3		2019-01-27		The Cry of Silence			俄语	8275	C			暂无						俄罗斯		
罪恶黑名单	美剧	动作/悬疑/谍战/罪案	9.0		2013-09-24 周二		The Blacklist	NBC		英语		B			人人影视字幕组					0day	美国		
超越秘密计划	电影	纪录	8.4		2018-10-31		Above Majestic			英语	3569	A			暂无						美国		
曼达洛人	美剧	动作/科幻/枪战	9.4		2019-11-13 周三		The Mandalorian	Disney+		英语		B			人人影视字幕组						美国		
速度与激情：间谍赛车手	美剧	动作/动画	6.4		2019-12-26 周四		Fast & Furious: Spy Racers	Netflix		英语		A			NETFLIX官方中字						美国		
小丑	电影	动作/冒险	8.8		2019-10-04		Joker			英语	819	C			暂无						美国		
星际迷航：发现号	美剧	科幻	8.6		2017-09-25 周一		Star Trek: Discovery	CBS All Access		英语		B			人人影视字幕组						美国		
新手姐妹的双人餐桌	日剧	剧情/生活	7.2		2019-10-10		新米姉妹のふたりごはん	东京台		日语		A			弯弯字幕组					3day	日本		
漫威崛起：火焰游戏	电影	科幻/动画	6.1		2019-12-18 周三		Marvel Rising: Playing With Fire			英语	8424	A			暂无						美国		
绿帽男	电影	剧情	5.4		2019-10-04		Cuck			英语	9368	E			暂无						美国		
夏洛克	日剧	悬疑/罪案	8.3		2019-10-07 周一		Sherlock	富士		日语		A			人人影视字幕组						日本		
重任在肩	英剧	剧情/罪案	9.4		2012-06-27 周三		Line of Duty 	BBC		英语		B									英国		
在黑暗中讲述的恐怖故事	电影	恐怖	7.3		2019-08-09		Scary Stories to Tell in the Dark			英语	6534	C			暂无						美国		
同志亦凡人	美剧	剧情	9.4		2000-05-10 周三		Queer As Folk	Showtime		英语		E			人人影视字幕组						美国		
他其实没那么喜欢你	电影	剧情/喜剧/爱情	8.1		2009-02-06		He's Just Not That Into You			英语	4360				暂无						美国		
朱迪	电影	剧情/爱情/传记	7.9		2019-08-30		Judy			英语	5223	A			暂无						英国		
高岭与花	日剧	剧情/偶像/青春	7.4		2019-03-18		高嶺と花	其他		日语		A			幻月字幕组						日本		
大世界之旅	汽车三贱客	真人秀	9.6		2016-11-18 周五		The Grand Tour	Amazon		英语		A			不靠谱实验室					非周播	英国		
监狱疑云	电影	剧情	5.3		2019-02-23 周六		O.G.			英语	9475	B			暂无						美国		
CHEAT~各位诈骗犯们，请注意~	日剧	剧情	6.2		2019-10-03 周四		CHEAT: Sagishi No Minasan Gochui Kudasai	NTV		日语		A			人人影视字幕组						日本		
时效警察开始了	日剧	喜剧	8.6		2019-10-11 周五		Jikou Keisatsu	朝日		日语		A			人人影视字幕组						日本		
黑色河流	电影	剧情/惊悚	7.5		2018-04-06		Fleuve noir			法语	6174	D			暂无						法国		
鬼影特攻：以暴制暴	电影	动作/惊悚	6.9		2019-12-13		6 Underground			英语	7101	B			暂无						美国		
浮华饭店	美剧	剧情	7.2		2019-06-18 周二		Grand Hotel	ABC		英语		B			拉风字幕组						美国		
